J-Ks,J-Ks_err,H-Ks,H-Ks_err,J-H,J-H_err,M_calibrated_K=MAG_APER_K+26.445934±0.0033441332,M_calibrated_err_K,M_calibrated_J=MAG_APER_J+27.93667±0.0224088083,M_calibrated_err_J,M_calibrated_H,M_calibrated_err_H,NUMBER_K,X_WORLD_K,Y_WORLD_K,X_IMAGE_K,Y_IMAGE_K,MAG_ISO_K,MAGERR_ISO_K,MAG_ISOCOR_K,MAGERR_ISOCOR_K,MAG_APER_K,MAGERR_APER_K,MAG_AUTO_K,MAGERR_AUTO_K,MAG_BEST_K,MAGERR_BEST_K,ISOAREA_IMAGE_K,THETA_IMAGE_K,ELONGATION_K,CLASS_STAR_K,NUMBER_J,X_WORLD_J,Y_WORLD_J,X_IMAGE_J,Y_IMAGE_J,MAG_ISO_J,MAGERR_ISO_J,MAG_ISOCOR_J,MAGERR_ISOCOR_J,MAG_APER_J,MAGERR_APER_J,MAG_AUTO_J,MAGERR_AUTO_J,MAG_BEST_J,MAGERR_BEST_J,ISOAREA_IMAGE_J,THETA_IMAGE_J,ELONGATION_J,CLASS_STAR_J,NUMBER_H,X_WORLD_H,Y_WORLD_H,X_IMAGE_H,Y_IMAGE_H,MAG_ISO_H,MAGERR_ISO_H,MAG_ISOCOR_H,MAGERR_ISOCOR_H,MAG_APER_H,MAGERR_APER_H,MAG_AUTO_H,MAGERR_AUTO_H,MAG_BEST_H,MAGERR_BEST_H,ISOAREA_IMAGE_H,THETA_IMAGE_H,ELONGATION_H,CLASS_STAR_H
1.490736,140.0071445082,,,,,125.445934,99.0000000565,126.93667,99.0000025361,,,31,158.3154604994,59.1139073145,92.44683,5.559453,-7.1740766,0.04131283,-7.341441,0.042017378,99,99,-6.178923,0.13626826,-7.341441,0.042017378,61,58.5048,1.3717388,0.97496784,31,158.3155099789,59.1138748191,92.44683,5.559453,-5.090946,0.29647982,-8.286564,0.032366727,99,99,-5.498157,0.29709393,-8.286564,0.032366727,25,58.5048,1.3717388,0.5183691,,,,,,,,,,,,,,,,,,,
1.490736,140.0071445082,,,,,125.445934,99.0000000565,126.93667,99.0000025361,,,32,158.3167962857,59.1139239221,82.64335,5.814829,-7.51469,0.031923164,-7.62235,0.032320086,99,99,-7.417002,0.049400985,-7.62235,0.032320086,57,9.512029,1.720906,0.979474,32,158.3168465586,59.1138916678,82.64335,5.814829,99,99,99,99,99,99,99,99,99,99,11,9.512029,1.720906,0.18947105,,,,,,,,,,,,,,,,,,,
-102.576094,99.0024425903,,,,,125.445934,99.0000000565,22.86984,0.695433431,,,33,158.3141397985,59.1139046327,102.13995,5.503577,-7.6553974,0.030881867,-7.779012,0.031315267,99,99,-7.396462,0.050915495,-7.779012,0.031315267,79,48.64521,1.2738193,0.98106295,33,158.3141884846,59.1138719071,102.13995,5.503577,-4.966348,0.37655568,-8.161966,0.040078778,-5.06683,0.6950723,-5.661063,0.28179875,-8.161966,0.040078778,28,48.64521,1.2738193,0.4790758,,,,,,,,,,,,,,,,,,,
108.492393,99.0000118687,,,,,18.444277,0.0429865058,126.93667,99.0000025361,,,34,158.2960948148,59.1140146778,234.58232,6.856627,-8.77301,0.018724537,-8.904612,0.019000536,-8.001657,0.04285623,-7.3862114,0.107506245,-8.904612,0.019000536,244,-8.004513,2.714109,0.55742705,34,158.2961325652,59.1139788961,234.58232,6.856627,99,99,99,99,99,99,99,99,99,99,44,-8.004513,2.714109,0.07931072,,,,,,,,,,,,,,,,,,,
5.0743766,2.8683985544,,,,,19.4253,0.0917412601,24.4996766,2.8669310784,,,35,158.2987026436,59.1137344762,215.43611,2.8800426,-7.7764792,0.027067577,-7.865067,0.027344204,-7.020634,0.09168029,-7.450598,0.046057675,-7.865067,0.027344204,67,4.8372355,2.5440774,0.98238444,35,158.2987421478,59.1136989769,215.43611,2.8800426,-3.8883972,0.959303,-7.084015,0.100058846,-3.4369934,2.8668435,-3.9238906,1.3013511,-7.084015,0.100058846,26,4.8372355,2.5440774,0.5591319,,,,,,,,,,,,,,,,,,,
4.70584,3.5223227087,,,,,19.941663,0.1560839285,24.647503,3.5188627526,,,36,158.3120588617,59.1138748852,117.412094,5.0510244,-8.187542,0.021817228,-8.266394,0.022013213,-6.504271,0.1560481,-7.7824717,0.040854327,-8.266394,0.022013213,95,12.15943,1.1848233,0.9833397,36,158.3121063144,59.1138417817,117.412094,5.0510244,-3.4123964,1.7247477,-6.608014,0.17930698,-3.289167,3.5187914,-4.7250733,0.754026,-6.608014,0.17930698,25,12.15943,1.1848233,0.3019404,,,,,,,,,,,,,,,,,,,
1.490736,140.0071445082,,,,,125.445934,99.0000000565,126.93667,99.0000025361,,,37,158.3100440322,59.1138784956,132.1999,5.0767283,-7.4818025,0.03551157,-7.642274,0.03610531,99,99,99,99,-7.642274,0.03610531,75,-17.438053,1.8166832,0.9758526,37,158.3100902695,59.1138450456,132.1999,5.0767283,99,99,99,99,99,99,99,99,99,99,10,-17.438053,1.8166832,0.48622665,,,,,,,,,,,,,,,,,,,
108.912764,99.0000066099,,,,,18.023906,0.0284009643,126.93667,99.0000025361,,,38,158.3050327403,59.1138447609,168.97917,4.53188,-8.587811,0.019105423,-8.686804,0.019324468,-8.422028,0.028203396,-8.461964,0.02915449,-8.686804,0.019324468,160,2.3341162,1.9480315,0.6117509,38,158.3050759827,59.1138104235,168.97917,4.53188,99,99,99,99,99,99,99,99,99,99,39,2.3341162,1.9480315,0.015278485,,,,,,,,,,,,,,,,,,,
106.9954886,99.0001228344,,,,,19.9411814,0.1543342848,126.93667,99.0000025361,,,39,158.3024510311,59.1138560355,187.92776,4.6619473,-7.8280487,0.029712953,-7.9758406,0.030187272,-6.5047526,0.15429805,-7.873245,0.03884123,-7.9758406,0.030187272,99,40.74901,2.6697092,0.9619525,39,158.302492712,59.1138212581,187.92776,4.6619473,-4.4512506,0.68844837,-7.646868,0.07191099,99,99,-4.815715,0.7160111,-7.646868,0.07191099,37,40.74901,2.6697092,0.15449917,,,,,,,,,,,,,,,,,,,
107.7960806,99.0000297725,,,,,19.1405894,0.0734357125,126.93667,99.0000025361,,,40,158.3010618987,59.1138021007,198.12198,3.8743598,-7.9112654,0.025251806,-7.997021,0.025500959,-7.3053446,0.07335953,-7.397019,0.04887643,-7.997021,0.025500959,76,23.87725,2.597858,0.9772479,40,158.3011027787,59.1137670504,198.12198,3.8743598,-2.9297526,2.4358857,-6.12537,0.2531414,99,99,99,99,-6.12537,0.2531414,17,23.87725,2.597858,0.52133316,,,,,,,,,,,,,,,,,,,
